@relation WeatherReliability

@attribute forecastProb numeric
@attribute tempDelta numeric
@attribute humidityDelta numeric
@attribute volatility numeric
@attribute actualOutcome numeric

@data
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.9,0.1,0.1,0.2,0.98
0.1,0.9,0.9,2,0.1
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.9,0.1,0.1,0.2,0.98
0.1,0.9,0.9,2,0.1
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.5,0,0,1,0.9
0.9,0.1,0.1,0.2,0.98
0.1,0.9,0.9,2,0.1
0.5,0,0,1,0.9
